# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  11 0.525 511.3 274.443
  12 0.575 524.8 259.863
  13 0.625 558.7 277.59
  14 0.675 549.9 281.602
  15 0.725 594.3 275.328
  16 0.775 513.9 278.129
  17 0.825 559.7 271.377
  18 0.875 437.1 275.225
  19 0.925 396.3 275.325
  20 0.975 220.4 303.752
2100 20 10000.000000000002
  1 0.025 321.8 277.736
  2 0.075 433.2 266.749
  3 0.125 500.7 278.596
  4 0.175 566.9 277.517
  5 0.225 551.5 263.166
  6 0.275 564 281.299
  7 0.325 581 277.517
  8 0.375 561.2 261.312
  9 0.425 508.8 255.677
  10 0.475 542.6 281.881
  11 0.525 519.4 273.801
  12 0.575 516.6 259.324
  13 0.625 566.8 280.798
  14 0.675 542.6 282.791
  15 0.725 595.4 284.424
  16 0.775 521.4 280.989
  17 0.825 554.2 270.028
  18 0.875 430.9 279.817
  19 0.925 395.9 278.755
  20 0.975 225.1 304.512
2150 20 10000
  1 0.025 328.5 273.553
  2 0.075 432.9 256.287
  3 0.125 496.7 277.76
  4 0.175 568.6 275.301
  5 0.225 538 264.046
  6 0.275 573.3 276.821
  7 0.325 584.4 281.655
  8 0.375 551 255.939
  9 0.425 518 256.628
  10 0.475 537.7 276.78
  11 0.525 522.2 273.021
  12 0.575 518.1 268.37
  13 0.625 568.7 273.753
  14 0.675 546.5 282.253
  15 0.725 582.5 283.397
  16 0.775 532.8 282.536
  17 0.825 545.6 271.791
  18 0.875 432.6 272.388
  19 0.925 395.4 275.332
  20 0.975 226.5 309.926
2200 20 10000
  1 0.025 341.2 276.929
  2 0.075 430.2 261.841
  3 0.125 492 271.137
  4 0.175 560.5 272.108
  5 0.225 543.8 258.124
  6 0.275 575 274.855
  7 0.325 582.8 278.21
  8 0.375 543.8 252.24
  9 0.425 529.4 250.164
  10 0.475 533.1 272.975
  11 0.525 512.2 271.177
  12 0.575 531.9 270.733
  13 0.625 564.6 272.691
  14 0.675 547.9 283.315
  15 0.725 584.6 281.712
  16 0.775 532.2 290.498
  17 0.825 538.5 271.082
  18 0.875 439.2 267.717
  19 0.925 388.3 272.417
  20 0.975 228.8 307.222
2250 20 10000
  1 0.025 348.3 282.773
  2 0.075 426 268.799
  3 0.125 491.1 275.299
  4 0.175 559.8 273.225
  5 0.225 545.1 261.442
  6 0.275 568.9 270.479
  7 0.325 584.8 279.149
  8 0.375 541.4 250.23
  9 0.425 528.3 257.403
  10 0.475 538 272.732
  11 0.525 505.7 274.121
  12 0.575 543.4 277
  13 0.625 556.4 272.333
  14 0.675 548.6 281.718
  15 0.725 584.7 281.604
  16 0.775 539.6 298.477
  17 0.825 530.7 271.97
  18 0.875 444 278.069
  19 0.925 383.5 266.802
  20 0.975 231.7 316.441
2300 20 10000.000000000002
  1 0.025 352 277.054
  2 0.075 424 271.446
  3 0.125 485.7 270.694
  4 0.175 560 276.093
  5 0.225 546.7 263.487
  6 0.275 562.4 263.359
  7 0.325 587.9 282.844
  8 0.375 540.7 248.333
  9 0.425 529.4 262.401
  10 0.475 539.8 270.345
  11 0.525 501.2 282.233
  12 0.575 545.3 279.113
  13 0.625 559.5 270.627
  14 0.675 547.9 281.341
  15 0.725 578.5 275.891
  16 0.775 544.2 292.18
  17 0.825 532.7 273.239
  18 0.875 450.7 278.715
  19 0.925 376.1 271.622
  20 0.975 235.3 319.96
2350 20 10000
  1 0.025 350.7 275.495
  2 0.075 426.5 270.204
  3 0.125 482.4 265.796
  4 0.175 564.5 267.145
  5 0.225 539.7 257.111
  6 0.275 570 265.668
  7 0.325 576.9 279.848
  8 0.375 552.8 246.58
  9 0.425 520.7 263.627
  10 0.475 541 262.036
  11 0.525 505.6 285.505
  12 0.575 545.8 269.589
  13 0.625 551.3 272.534
  14 0.675 557.6 277.339
  15 0.725 570.3 277.816
  16 0.775 548.8 278.09
  17 0.825 530.8 271.742
  18 0.875 456.9 274.1
  19 0.925 369.1 270.372
  20 0.975 238.6 320.304
2400 20 9999.999999999998
  1 0.025 348.1 274.435
  2 0.075 426.2 275.227
  3 0.125 484.3 271.13
  4 0.175 562.1 269.418
  5 0.225 538.5 260.932
  6 0.275 570.3 275.454
  7 0.325 573.5 272.653
  8 0.375 554.3 244.614
  9 0.425 526.5 258.935
  10 0.475 546.9 262.827
  11 0.525 499.2 288.118
  12 0.575 549.1 269.096
  13 0.625 548.4 270.086
  14 0.675 555 284.595
  15 0.725 571.6 285.954
  16 0.775 553.2 281.172
  17 0.825 522.4 263.28
  18 0.875 462.3 270.71
  19 0.925 366.3 268.385
  20 0.975 241.8 315.095
2450 20 10000
  1 0.025 345.8 281.791
  2 0.075 421.7 283.158
  3 0.125 489.6 276.465
  4 0.175 558.5 272.244
  5 0.225 548.1 272.389
  6 0.275 557.8 274.234
  7 0.325 576.7 273.127
  8 0.375 550.9 251.247
  9 0.425 535.9 259.534
  10 0.475 544 263.232
  11 0.525 495.5 287.858
  12 0.575 552.8 274.752
  13 0.625 550.4 271.541
  14 0.675 558 288.953
  15 0.725 569.6 288.775
  16 0.775 549.7 285.212
  17 0.825 522.8 255.046
  18 0.875 460.2 269.834
  19 0.925 368.4 279.48
  20 0.975 243.6 306.657
2500 20 10000
  1 0.025 341.9 278.409
  2 0.075 419.8 284.531
  3 0.125 493.1 272.232
  4 0.175 554.2 270.369
  5 0.225 549.2 270.088
  6 0.275 566.9 267.237
  7 0.325 570.4 277.433
  8 0.375 557.5 248.449
  9 0.425 529.9 266.014
  10 0.475 542.8 262.658
  11 0.525 502.4 284.75
  12 0.575 541.2 274.847
  13 0.625 562.3 275.936
  14 0.675 554.4 285.975
  15 0.725 565.6 284.997
  16 0.775 552.4 285.322
  17 0.825 521.8 251.37
  18 0.875 464.7 271.781
  19 0.925 365.2 277.578
  20 0.975 244.3 308.165
2550 20 10000
  1 0.025 335.6 267.936
  2 0.075 420.5 284.145
  3 0.125 490.5 265.966
  4 0.175 556.4 267.958
  5 0.225 547.3 266.798
  6 0.275 567.7 267.52
  7 0.325 565.8 274.547
  8 0.375 566.7 245.933
  9 0.425 524.5 273.943
  10 0.475 548.8 263.851
  11 0.525 500.6 275.924
  12 0.575 543 272.064
  13 0.625 560.8 268.912
  14 0.675 553.7 293.573
  15 0.725 565.5 283.83
  16 0.775 547.3 285.233
  17 0.825 531.3 257.983
  18 0.875 459.6 273.321
  19 0.925 360.5 274.01
  20 0.975 253.9 301.146
2600 20 10000
  1 0.025 337 266.345
  2 0.075 418.3 292.891
  3 0.125 496.7 271.513
  4 0.175 544.2 271.493
  5 0.225 553.4 265.619
  6 0.275 568.6 266.336
  7 0.325 563.2 273.697
  8 0.375 574.4 255.678
  9 0.425 518.7 267.23
  10 0.475 550.8 262.191
  11 0.525 496.4 272.566
  12 0.575 550.6 280.825
  13 0.625 555 265.053
  14 0.675 558.9 295.518
  15 0.725 562.8 280.747
  16 0.775 540.8 283.285
  17 0.825 534.7 255.985
  18 0.875 460.3 274.958
  19 0.925 355.5 273.883
  20 0.975 259.7 302.765
2650 20 9999.999999999998
  1 0.025 341.5 267.795
  2 0.075 418 287.927
  3 0.125 499.2 272.611
  4 0.175 531.5 267.359
  5 0.225 560.8 265.954
  6 0.275 560.8 264.522
  7 0.325 570.4 274.746
  8 0.375 572.2 254.47
  9 0.425 519.5 265.221
  10 0.475 554.7 261.301
  11 0.525 493.8 276.311
  12 0.575 555.2 281.108
  13 0.625 550.6 267.652
  14 0.675 566.2 288.997
  15 0.725 554.9 273.614
  16 0.775 539 281.35
  17 0.825 532.3 251.517
  18 0.875 461.8 274.263
  19 0.925 353.1 275.767
