Step V Dens T P KE PE U H
2150 192359.834653176 1.03606806307377 276.177894416283 -103.747645957784 6585.04751226791 8988.63824061238 15573.6857528803 15282.6351281561
2200 192359.834653176 1.03606806307377 288.445816025609 513.685482817599 6877.5576961294 8717.86028197692 15595.4179781063 17036.4962725153
2250 192359.834653176 1.03606806307377 284.868887175081 776.581054300114 6792.27119454856 8769.98390352859 15562.2550980771 17740.8529729144
2300 192359.834653176 1.03606806307377 275.705837944377 593.704564948477 6573.79203397356 8894.96182205256 15468.7538560261 17134.3153532012
2350 192359.834653176 1.03606806307377 269.469619585437 138.029685964992 6425.09876408934 8933.28791398464 15358.386678074 15745.6111395036
2400 192359.834653176 1.03606806307377 265.690768985351 257.734526397242 6334.99774135572 8940.91395315529 15275.911694511 15998.9526293523
2450 192359.834653176 1.03606806307377 269.001296867701 429.06272256793 6413.93231156104 8829.72952662384 15243.6618381849 16447.3419052975
2500 192359.834653176 1.03606806307377 266.8056281121 -349.973156452988 6361.57988448722 8911.51386731512 15273.0937518023 14291.2892502932
2550 192359.834653176 1.03606806307377 272.135245867608 -169.650745849383 6488.65662325526 8873.21327940542 15361.8699026607 14885.9366406715
2600 192359.834653176 1.03606806307377 275.81407395704 -185.775214991313 6576.37275929712 8889.05651952964 15465.4292788268 14944.2609006692
2650 192359.834653176 1.03606806307377 274.914963769639 -340.187277467163 6554.9348259125 8997.88809792132 15552.8229238338 14598.4714422559
2700 192359.834653176 1.03606806307377 286.275935024582 342.203371129406 6825.82013937117 8783.33744727955 15609.1575866507 16569.1649586778
2750 192359.834653176 1.03606806307377 277.993041116691 441.143069605025 6628.32696187477 8989.07464803885 15617.4016099136 16854.9715308111
2800 192359.834653176 1.03606806307377 283.81183382022 185.856370292027 6767.06734331538 8812.94130492594 15580.0086482413 16101.4046971162
2850 192359.834653176 1.03606806307377 272.029576213701 368.699254790713 6486.13708890566 9034.65434001676 15520.7914289224 16555.1295813836
2900 192359.834653176 1.03606806307377 266.175723876063 312.576804741004 6346.56076309356 9114.0482994389 15460.6090625325 16337.5029279718
2950 192359.834653176 1.03606806307377 274.169737473731 271.6305983976 6537.16602303161 8884.27268708772 15421.4387101193 16183.4632806815
3000 192359.834653176 1.03606806307377 265.718622473924 188.314663627199 6335.66186599908 9074.29914746492 15409.961013464 15938.2534868732
3050 192359.834653176 1.03606806307377 276.884080701919 337.004028971307 6601.88546467988 8831.19153825511 15433.077002935 16378.4982918823
3100 192359.834653176 1.03606806307377 275.928999076995 -13.6139905010597 6579.11297634763 8905.38994325805 15484.5029196057 15446.3106271084
3150 192359.834653176 1.03606806307377 268.75305926606 -635.560776469699 6408.01345840812 9142.54306559836 15550.5565240065 13767.5728299287
3200 192359.834653176 1.03606806307377 283.623333292726 348.14447591602 6762.57283106536 8855.04436083391 15617.6171918993 16594.2915662832
3250 192359.834653176 1.03606806307377 269.860813410813 -86.9730431011401 6434.42619390429 9232.87696267935 15667.3031565836 15423.3115142186
3300 192359.834653176 1.03606806307377 279.371082438623 -227.916660905789 6661.18428956921 9028.33226034154 15689.5165499107 15050.12578659
3350 192359.834653176 1.03606806307377 280.168601726828 233.371586332073 6680.19994039049 8993.98153501498 15674.1814754055 16328.8753276636
3400 192359.834653176 1.03606806307377 267.802817759716 320.97380957092 6385.35637544124 9242.79839108126 15628.1547665225 16528.6053447816
3450 192359.834653176 1.03606806307377 278.670564465636 -11.4684017805978 6644.48148956753 8931.02698496381 15575.5084745313 15543.3353541485
3500 192359.834653176 1.03606806307377 267.478671870007 472.578371240153 6377.62760305288 9151.27315834774 15528.9007614006 16854.6583620747
3550 192359.834653176 1.03606806307377 269.751969560636 253.987242726541 6431.83097560724 9074.06207783879 15505.893053446 16218.4214678026
3600 192359.834653176 1.03606806307377 278.726565501324 -103.026812118505 6645.81675023899 8867.08315198404 15512.899902223 15223.8714837601
